age,GENDER,grade,race,parents,skl_gra,stayhome,friends,pregnant,gamble,clubs,sports,hrs_work,alc_30
17 years old,Male,Senior - 12th,White,Someone else not on this list,Mostly C's,0 days,1 or 2,No,At least once per month,No,Yes,None,10 to 19 days
17 years old,Female,Senior - 12th,White,My mother and my father,Mostly A's,0 days,1 or 2,No,I have never gambled,Yes,Yes,None,1 or 2 days
18 years old or older,Female,Senior - 12th,Black,My mother only,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
18 years old or older,Female,Senior - 12th,Other,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,16-20 hours,0 days
17 years old,Male,Senior - 12th,Black,My mother and my father,Mostly A's,0 days,5 or more,No,I have never gambled,No,Yes,None,0 days
18 years old or older,Female,Senior - 12th,Hispanic or Latino,My mother and a step-parent,Mostly C's,0 days,1 or 2,No,I have never gambled,No,No,11-15 hours,3 to 5 days
18 years old or older,Female,Senior - 12th,Hispanic or Latino,My mother and my father, ,0 days,1 or 2,No,I have never gambled,No,Yes,6-10 hours,6 to 9 days
18 years old or older,Male,Senior - 12th,White,My mother and my father,Mostly A's,0 days,5 or more,No,I have never gambled,Yes,Yes,None,0 days
17 years old,Female,Senior - 12th,Black,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
18 years old or older,Female,Senior - 12th,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
17 years old,Female,Senior - 12th,Black,My mother only,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,5 hours or less,0 days
17 years old,Female,Senior - 12th,Hispanic or Latino,My mother only,Mostly B's,0 days,3 or 4,No,I have never gambled,Yes,Yes,16-20 hours,0 days
18 years old or older,Female,Senior - 12th,Black,Someone else not on this list,Mostly C's,0 days,3 or 4,No,I have never gambled,No,No,26-30 hours,1 or 2 days
18 years old or older,Male,Senior - 12th,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,None,I have never had sexual intercourse,I have never gambled,No,No,16-20 hours,0 days
18 years old or older,Female,Senior - 12th,Black,My father only,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,No,16-20 hours,0 days
18 years old or older,Male,Junior - 11th,Hispanic or Latino,My mother and a step-parent,Mostly B's,0 days,5 or more,No,I have never gambled,Yes,Yes,26-30 hours,0 days
16 years old,Female,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
18 years old or older,Female,Senior - 12th,Other,My mother only,Mostly B's,0 days,1 or 2,No,I have never gambled,Yes,Yes,16-20 hours,3 to 5 days
16 years old,Male,Junior - 11th,White,My mother only,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,1 or 2 days
16 years old, ,Junior - 11th,White,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
17 years old,Female,Senior - 12th,Black,My mother only, ,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,16-20 hours,0 days
18 years old or older,Female,Senior - 12th,Hispanic or Latino,My mother only,Mostly B's,0 days,3 or 4,No,Once or twice per year,Yes,Yes,11-15 hours,1 or 2 days
18 years old or older,Female,Junior - 11th,White,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
18 years old or older,Female,Senior - 12th,Other,My mother and my father,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
16 years old,Female,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
17 years old,Female,Junior - 11th,White,My mother and my father,Mostly A's,0 days,5 or more,No,I have never gambled,Yes,No,None,0 days
13 years old or younger,Female,Freshman - 9th,White,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
17 years old,Male,Senior - 12th,Black,My mother and my father,Mostly B's,0 days,5 or more,No,I have never gambled,Yes,Yes,5 hours or less,0 days
17 years old,Female,Junior - 11th,White,My mother and my father,Mostly A's,0 days,5 or more,No,I have never gambled,Yes,Yes,None,0 days
17 years old,Female,Junior - 11th,White,My mother and my father,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,1 or 2 days
17 years old,Male,Senior - 12th,Black,My mother and my father,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
17 years old,Male,Senior - 12th,White,My mother and my father,Mostly B's,0 days,5 or more,No,I have never gambled,Yes,Yes,5 hours or less,0 days
18 years old or older,Male,Senior - 12th,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,5 or more,No,Once or twice per year, ,Yes,11-15 hours,0 days
16 years old,Female,Junior - 11th,Black,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
16 years old,Female,Junior - 11th,Hispanic or Latino,My mother only,Mostly A's,0 days,3 or 4,No,I have never gambled,Yes,No,More than 30 hours,0 days
16 years old,Female,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
17 years old,Female,Senior - 12th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,None,I have never had sexual intercourse,At least once per month,Yes,No,11-15 hours,0 days
18 years old or older,Male,Senior - 12th,Hispanic or Latino,My mother only,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,21-25 hours,0 days
17 years old,Male,Junior - 11th,White,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,16-20 hours,0 days
16 years old,Male,Junior - 11th,White,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,11-15 hours,0 days
18 years old or older,Female,Senior - 12th,Hispanic or Latino,My mother and a step-parent,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,Yes,Yes,6-10 hours,0 days
18 years old or older,Male,Senior - 12th, ,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
18 years old or older,Female,Senior - 12th,Other,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,11-15 hours,0 days
18 years old or older,Female,Senior - 12th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,Yes,No,None,0 days
17 years old,Female,Senior - 12th,Black,My mother only,Mostly B's,0 days,1 or 2,No,I have never gambled,Yes,Yes,11-15 hours,0 days
18 years old or older,Female,Senior - 12th,Other,My mother and my father,Mostly B's,0 days,None,No,I have never gambled,No,No,None,0 days
17 years old,Male,Senior - 12th, ,My mother and my father, ,0 days,3 or 4,No,I have never gambled,Yes,Yes,None,1 or 2 days
17 years old,Male,Senior - 12th,White,My mother and my father,Mostly B's,0 days,5 or more,No,I have never gambled,No,Yes,5 hours or less,0 days
17 years old,Female,Senior - 12th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,5 or more,No,I have never gambled,Yes,No,None,0 days
18 years old or older,9,Junior - 11th,Black, ,Mostly C's,2 or 3 days, ,No,9, , , ,0 days
18 years old or older,Female,Senior - 12th,Black,My father and a step-parent,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,21-25 hours,0 days
18 years old or older,Female,Senior - 12th,White,My mother only,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,5 hours or less,0 days
18 years old or older,Male,Senior - 12th,Black,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
17 years old,Female,Senior - 12th,Hispanic or Latino,My mother and my father,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
18 years old or older,Female,Senior - 12th,White,My mother and my father,Mostly B's,0 days,1 or 2,Yes,I have never gambled,Yes,No,6-10 hours,1 or 2 days
17 years old,Male,Senior - 12th,White,My mother and my father,Mostly B's,0 days,5 or more,No,I have never gambled,Yes,Yes,None,0 days
18 years old or older,Male,Senior - 12th,White,My mother only,Mostly A's,0 days,5 or more,No,I have never gambled,Yes,Yes,5 hours or less,0 days
17 years old,Female,Senior - 12th,Hispanic or Latino,My mother only,Mostly B's,0 days,3 or 4,No,I have never gambled, ,Yes,11-15 hours,0 days
17 years old,Male,Senior - 12th,Hispanic or Latino,My mother only,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,Once or twice per year,No,No,6-10 hours,0 days
18 years old or older,Female,Senior - 12th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
18 years old or older,Female,Senior - 12th,Black,My mother only,Mostly C's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,16-20 hours,1 or 2 days
17 years old,Male,Senior - 12th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
18 years old or older,Female,Senior - 12th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,21-25 hours,0 days
14 years old,Female,Freshman - 9th,White,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
14 years old,Male,Freshman - 9th,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,At least once per month,No,No,6-10 hours,0 days
16 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,1 or 2,No,I have never gambled,Yes,Yes,None,0 days
14 years old,Female,Freshman - 9th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
14 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Female,Freshman - 9th,White,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
14 years old,Male,Freshman - 9th,White,My mother and a step-parent,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
14 years old,Female,Freshman - 9th,Hispanic or Latino,My father and a step-parent,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
15 years old,Female,Freshman - 9th,Asian or other Pacific Islander,My mother only,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
14 years old,Male,Freshman - 9th,Hispanic or Latino,My mother only,Mostly B's,0 days,3 or 4,No,I have never gambled,No,Yes,None,0 days
15 years old,Male,Freshman - 9th,White,My mother and my father,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,Weekly,No,Yes,None,0 days
14 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
15 years old,Male,Freshman - 9th,White,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
15 years old,Male,Freshman - 9th,White,My mother and my father,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
14 years old,Male,Freshman - 9th,White,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,1 or 2 days
14 years old,Female,Freshman - 9th,Asian or other Pacific Islander,My mother and my father,I don't know,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
14 years old,Female,Freshman - 9th,White,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
15 years old,Male,Freshman - 9th,Other,My mother and my father, ,0 days,1 or 2,No,I have never gambled,No,Yes,None,0 days
15 years old,Female,Freshman - 9th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
15 years old,Female,Freshman - 9th,White,My mother and my father,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Female,Freshman - 9th,Other,My mother and my father,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
15 years old,Male,Freshman - 9th,Black,My mother and my father,Mostly C's,2 or 3 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
17 years old,Male,Sophomore - 10th,Other,My mother and my father,Mostly D's, ,5 or more,I have never had sexual intercourse,Daily, , ,16-20 hours,0 days
15 years old,Female,Freshman - 9th,Black,My mother and my father,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
16 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and a step-parent,I don't know,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,5 hours or less,0 days
15 years old,Female,Freshman - 9th, ,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,At least once per month,No,No,None,0 days
